Labels;Repo;Csoc_predictions
General,Computer Vision;https://github.com/5yearsKim/Conditional-Normalizing-Flow;image reconstruction,low resolution images,signal detection,image segmentation,inverse problems,object recognition,image retrieval,optical resolving power,machine learning,imaging systems,edge detectors
General,Computer Vision;https://github.com/vantupham/darknet;wireless networks,program compilers,computer science,intrusion detection,operating systems,telecommunication traffic,bandwidth,web 2.0,graphics processing unit,object recognition,video streaming,information systems,user interfaces,program processors,knowledge management,mpi,mobile telecommunication systems,malwares,parallel programming,wireless local area networks (wlan),cloud providers,telephone sets
General,Computer Vision;https://github.com/mr-bulb/DL_basic_github;
General,Computer Vision;https://github.com/MarkHershey/arxiv-dl;buffer storage,world wide web,electronic publishing,operating systems,ontology,ad hoc networks,wireless sensor networks,storage allocation (computer),routing protocols,cache memory
General,Computer Vision;https://github.com/yhenon/pytorch-retinanet;object recognition,human computer interaction,signal detection,verification and validation
General,Reinforcement Learning;https://github.com/nikhilbarhate99/TD3-PyTorch-BipedalWalker-v2;multipurpose robots,motion control,humanoid robot,anthropomorphic robots,ad hoc networks,machine design,computer systems,routing protocols,bandwidth,biped locomotion
General,Computer Vision;https://github.com/jndeng/DACSDC-DeepZ;graphics processing unit,program compilers,bayesian methods,world wide web,parallel programming,flash memory,probability distributions,database systems,intelligent control,inference engines,program processors,intelligent systems
General,Computer Vision;https://github.com/nolanliou/PeopleSegmentationDemo;digital signal processors,high level languages,semantic gap,computer programming languages,object recognition,image processing,program processors,image analysis,image compression,field programmable gate array,signal processing,object oriented programming,smart phones
General,Computer Vision;https://github.com/wangbinglin1995/tianchi;scripting languages,numerical model
General,Natural Language Processing;https://github.com/nachiketaa/bert;random access storage,cuda,operating systems,machine learning,computational linguistics,semantics,software architecture,character recognition,commerce,computational efficiency,mathematics,program processors,cloud computing,sensors,computer systems,artificial intelligence,cache memory,information retrieval,computer system recovery,buffer storage,digital storage,linguistics,scalable video coding,inference engines,education,storage allocation (computer)
General,Computer Vision;https://github.com/sdoria/SimpleSelfAttention;image quality,regularization,image processing,image matching,digital image storage,software architecture patterns,optical character recognition,software architecture,graphics processing unit,object recognition,image retrieval,program processors,support vector machine,parameterization,pattern recognition,imaging systems,image analysis,color image processing,inverse problems,parallel programming,parallel computing
General,Computer Vision;https://github.com/Vious/LBAM_Pytorch;parallel programming,graphics processing unit,parallel computing,program processors
General,Computer Vision;https://github.com/fdasilva59/Pix2Pix-Kubeflow-Demo;hand held computers,computer science,image quality,communication,operating systems,superresolution,edge detection,cluster computing,image processing,digital image storage,image matching,software architecture patterns,optical character recognition,software architecture,image denoising,object recognition,computing paradigm,image retrieval,commerce,wireless sensor networks,distributed database systems,mathematics,program processors,pattern recognition,sensor networks,imaging systems,quality of service,computing environments,software development,software as a service,image analysis,mobile devices,computing resource,cluster head,de-noising,color image processing,engineering,verification and validation,cloud providers,servers,sociology,fused images,correlation analysis,optical fibers
General;https://github.com/abcp4/MyDarts;random access storage,neural networks,cuda,verification and validation,program processors,software architecture
General,Reinforcement Learning;https://github.com/hill-a/stable-baselines;computer software maintenance,computer science,computer programming languages,multiagent system,source codes,medium access control,software systems,electronic mail,parallel programming,data privacy,reinforcement learning,computer systems programming,wireless telecommunication systems
General,Natural Language Processing;https://github.com/lukexyz/Language-Models;machine translations,neural networks,artificial intelligence,machine learning,natural languages,program processors,visualization,inference engines,data mining,computational linguistics,support vector machine,sales,speech transmission,text processing
General,Computer Vision;https://github.com/jolibrain/caffe;signal detection,object recognition,digital storage,flash memory,signal reconstruction,approximation algorithms,image processing,image analysis,software engineering,program processors,software architecture,classification methods
General,Computer Vision;https://github.com/sidneykingsley/fyp;software development,world wide web,intelligent control,education,intelligent systems,software architecture
Sequential,Audio,Computer Vision,General,Natural Language Processing;https://github.com/huggingface/transformers;virtual reality,knowledge representation,image processing,digital image storage,computational linguistics,object recognition,computer imaging and vision,information analysis,pattern recognition,imaging systems,artificial intelligence,translation (languages),image analysis,text processing,information retrieval,question answering,neural networks,linguistics,education,data mining,information theory
General,Natural Language Processing;https://github.com/insigh/THUMT;linguistics,artificial intelligence,translation (languages),software engineering,mathematics,information theory,semantics
General,Natural Language Processing;https://github.com/af-ai-center/bert;linguistics,artificial intelligence,scalable video coding,program processors,semantics,software architecture
General,Natural Language Processing;https://github.com/enhuiz/transformer-pytorch;computer aided language translation,speech communication,natural language processing,translation (languages),statistical machine translation,computational linguistics,information theory
General,Computer Vision;https://github.com/rwightman/efficientnet-jax;bayesian methods,communication,multi path routing,graphics processing unit,computing paradigm,commerce,distributed database systems,mathematics,program processors,computing environments,computing resource,human engineering,mobile devices,parallel programming,probability distributions,verification and validation,cloud providers,inference engines,parallel computing,software as a service
General,Natural Language Processing;https://github.com/StillKeepTry/Transformer-PyTorch;machine translations,computer system recovery,neural networks,cuda,social networks,program processors,speech transmission
General,Computer Vision;https://github.com/nahliabdelwahed/Face-Image-Deblurring;gyroscopes,signal detection,evolutionary algorithms,intrusion detection,signal to noise ratio,face recognition,program processors,adaptive boosting,image restoration
General,Computer Vision;https://github.com/d-li14/mobilenetv3.pytorch;proposed architectures,embedded systems,verification and validation,network architecture,software engineering,object oriented programming,geodetic satellites,sensors,software architecture
Reinforcement Learning,Computer Vision,General,Natural Language Processing,Graphs;https://github.com/google-research/google-research;computer aided design,information retrieval systems,text mining,recommender systems
General,Computer Vision;https://github.com/CarpdiemLiang/style_transfer;signal detection,computer system recovery,object recognition,signal to noise ratio,neural networks,image retrieval,communication channels,inference engines,imaging systems
General,Computer Vision;https://github.com/Brainkite/Sketch_Augmented;computer science,image quality,machine learning,image processing,digital image storage,image matching,optical character recognition,object recognition,image retrieval,digital holography,pattern recognition,imaging systems,compression algorithms,world wide web,image analysis,image coding,image reconstruction,color image processing,content based retrieval,compression ratio (machinery)
General,Natural Language Processing;https://github.com/brightmart/bert_customized;random access storage,cuda,operating systems,machine learning,computational linguistics,semantics,software architecture,character recognition,commerce,computational efficiency,mathematics,program processors,cloud computing,sensors,computer systems,artificial intelligence,cache memory,information retrieval,computer system recovery,buffer storage,digital storage,linguistics,scalable video coding,inference engines,education,storage allocation (computer)
General,Computer Vision;https://github.com/BIYTC/mobilenet_maskrcnn;graphics processing unit,signal detection,bayesian methods,attribute weight,intrusion detection,parallel programming,probability distributions,neural networks,random access storage,inference engines,game theory,program processors
General,Natural Language Processing;https://github.com/Zehui127/SQUAD_BERT;random access storage,cuda,operating systems,machine learning,computational linguistics,semantics,software architecture,character recognition,commerce,computational efficiency,mathematics,program processors,cloud computing,sensors,computer systems,artificial intelligence,cache memory,information retrieval,computer system recovery,buffer storage,digital storage,linguistics,scalable video coding,inference engines,education,storage allocation (computer)
General,Computer Vision;https://github.com/marload/ConvNets-TensorFlow2;fiber optic networks,local area networks,computer science,proposed architectures,neural networks,embedded systems,network architecture,software engineering,bandwidth,object oriented programming,sensors,software architecture
General,Computer Vision;https://github.com/catalyst-team/gan;open source software,software development,source codes,human computer interaction,formal methods,computer programming
General,Audio;https://github.com/adrienchaton/BERGAN;image reconstruction,inference engines,matrix factorizations,program processors,signal processing,correlation analysis,gaussian distribution,music genre classification
General,Natural Language Processing;https://github.com/s9891326/Fine-Tuning-BERT;image resolution,random access storage,inference engines,through silicon vias,program processors
General,Reinforcement Learning;https://github.com/roop-pal/Meta-Learning-for-StarCraft-II-Minigames;multiagent system,cuda,neural networks,human computer interaction,program processors,reinforcement learning,state space methods,gpu
General,Computer Vision;https://github.com/implus/PytorchInsight;image reconstruction,cuda,machine learning,computer imaging and vision,program processors,imaging systems
General,Natural Language Processing;https://github.com/AssafSinger94/sigmorphon-2020-inflection;scripting languages,resource discovery,virtual machines,information management,network virtualization,cloud computing
General,Computer Vision;https://github.com/sarus-tech/tf2-published-models;image reconstruction,personal information,visualization,education,quantization,recommender systems
General,Computer Vision;https://github.com/AD2605/Action-Recognition;video streaming,visualization,education,motion estimation,gesture recognition
General,Computer Vision;https://github.com/ikigai-aa/Face-Mask-Detector-using-MobileNetV2;computer science,human computer interaction,computer imaging and vision,face recognition,machine learning,education,imaging systems,classification methods
Sequential,General,Audio,Natural Language Processing;https://github.com/pytorch/fairseq;random access storage,parallel architectures,machine learning,natural language processing,computational linguistics,computer aided language translation,speech communication,video streaming,commerce,telephone systems,stream ciphers,hidden markov models,program processors,image compression,damage detection,statistical methods,data visualization,binary sequences,translation (languages),social networks,signal processing,structures (built objects),neural networks,hidden markov model (hmm),information theory,telephone sets,social media
General,Computer Vision;https://github.com/RuiLiFeng/LAE;graphics processing unit,buffer storage,parallel programming,operating systems,dynamic random access storage,image processing,parallel computing,storage allocation (computer),matrix factorizations,image analysis,program processors,correlation analysis,cache memory
Sequential,General;https://github.com/jindongwang/transferlearning;damage detection,topology,denotational semantics,world wide web,linguistics,knowledge management,knowledge representation,artificial intelligence,natural language processing,translation (languages),structures (built objects),sensors,data mining,computational linguistics,pattern recognition,information theory,ubiquitous computing,computer systems
General,Natural Language Processing;https://github.com/ays-dev/keras-transformer;computer aided language translation,statistical methods,natural language processing,translation (languages),information theory,speech transmission
General,Computer Vision;https://github.com/facebookresearch/video-nonlocal-net;image reconstruction,video streaming,cuda,social networks,program processors
General,Computer Vision;https://github.com/sivaole/Face_Detection;object recognition,face recognition
General,Computer Vision;https://github.com/Rohed/ml-1;computer science,object recognition,machine learning,program processors,computer systems
General,Computer Vision;https://github.com/Our4514/CAGFUZZ;color image processing,image quality,object recognition,image retrieval,content based retrieval,digital image storage,image processing,image matching,image analysis,optical character recognition,pattern recognition,imaging systems
General,Natural Language Processing;https://github.com/dzqjorking/transpose;random access storage,cuda,operating systems,machine learning,computational linguistics,semantics,software architecture,character recognition,grid computing,commerce,computational efficiency,program processors,cloud computing,sensors,computer systems,artificial intelligence,cache memory,information retrieval,computer system recovery,buffer storage,digital storage,linguistics,scalable video coding,inference engines,storage allocation (computer)
General,Computer Vision;https://github.com/Lmath11/darknet;wireless networks,program compilers,authentication,computer science,intrusion detection,virtual reality,javascript,operating systems,telecommunication traffic,bandwidth,web 2.0,graphics processing unit,object recognition,video streaming,information systems,user interfaces,program processors,cryptography,knowledge management,visualization,mpi,mobile devices,mobile telecommunication systems,malwares,three dimensional computer graphics,computer hardware,parallel programming,wireless local area networks (wlan),cloud providers,storage allocation (computer),servers,telephone sets
General,Computer Vision;https://github.com/JacobM184/EfficientNet-for-Gun-detection;gyroscopes,signal detection,evolutionary algorithms,computer science,image quality,time varying networks,bayesian methods,operating systems,intrusion detection,machine learning,digital image storage,image processing,stochastic processes,image matching,optical character recognition,web 2.0,security systems,graphics processing unit,image resolution,object recognition,information systems,image retrieval,mathematics,program processors,pattern recognition,imaging systems,computer systems,knowledge management,graphic methods,hidden layers,image analysis,data privacy,stochasticity,color image processing,computer system recovery,parallel programming,probability distributions,inference engines
General,Computer Vision;https://github.com/Kate589/gan;graphics processing unit,buffer storage,parallel programming,discrete cosine transforms,operating systems,dynamic random access storage,digital image storage,image processing,wavelet transforms,storage allocation (computer),parallel computing,matrix factorizations,program processors,image analysis,correlation analysis,cache memory
General,Natural Language Processing;https://github.com/DeligientSloth/bert-tensorflow;random access storage,cuda,operating systems,machine learning,computational linguistics,semantics,software architecture,character recognition,grid computing,commerce,computational efficiency,program processors,cloud computing,sensors,computer systems,artificial intelligence,cache memory,information retrieval,computer system recovery,buffer storage,digital storage,linguistics,scalable video coding,inference engines,storage allocation (computer)
General,Natural Language Processing;https://github.com/chandu7077/mybert;random access storage,cuda,operating systems,machine learning,computational linguistics,semantics,software architecture,character recognition,commerce,computational efficiency,mathematics,program processors,cloud computing,sensors,computer systems,artificial intelligence,cache memory,information retrieval,computer system recovery,buffer storage,digital storage,linguistics,scalable video coding,inference engines,education,storage allocation (computer)
General,Natural Language Processing;https://github.com/halo090770/bert;random access storage,cuda,operating systems,machine learning,computational linguistics,semantics,software architecture,character recognition,grid computing,commerce,computational efficiency,program processors,cloud computing,sensors,computer systems,artificial intelligence,cache memory,information retrieval,computer system recovery,buffer storage,digital storage,linguistics,scalable video coding,inference engines,storage allocation (computer)
General,Computer Vision;https://github.com/monishramadoss/SRGAN;low resolution images,optical resolving power,database systems,content based retrieval,data mining,data communication systems
General,Computer Vision;https://github.com/waynecoffee9/Traffic-Sign-Classifier;image reconstruction,color image processing,image quality,object recognition,human computer interaction,image retrieval,verification and validation,machine learning,digital image storage,image processing,image matching,hidden layers,mathematics,optical character recognition,image analysis,pattern recognition,imaging systems
General,Natural Language Processing;https://github.com/liuqiangict/lamb_optimizer;neural networks,mathematics,correlation analysis
General,Computer Vision;https://github.com/mqjinwon/tracking_darknet;wireless networks,program compilers,authentication,computer science,intrusion detection,virtual reality,javascript,operating systems,telecommunication traffic,bandwidth,web 2.0,graphics processing unit,object recognition,video streaming,information systems,user interfaces,program processors,image compression,cryptography,knowledge management,visualization,mpi,mobile devices,signal processing,mobile telecommunication systems,malwares,three dimensional computer graphics,parallel programming,verification and validation,wireless local area networks (wlan),cloud providers,storage allocation (computer),servers,telephone sets
General,Computer Vision;https://github.com/KarimDahawy/CapStone-Project;three term control systems,motion planning,graphics processing unit,program compilers,engineering,multi core,object recognition,parallel programming,image quality,ocean currents,computer vision,mpi,image matching,proportional control systems,delay control systems,cloud computing,signal processing,gpu
General;https://github.com/Talgin/facerec;active appearance models,verification and validation,image processing,program processors,pattern recognition
General,Computer Vision;https://github.com/abcxs/maskrcnn-contest;bayesian methods,attribute weight,intrusion detection,probability distributions,neural networks,cuda,inference engines,game theory,program processors
General,Computer Vision;https://github.com/lkeonwoo94/DL_cv-mdt_NVIDIA_Cert_Course_StudyPI;signal detection,neural networks,content based retrieval,program processors,signal processing,classification methods
General,Natural Language Processing;https://github.com/text-machine-lab/transformerpy;natural language processing,linguistics,speech transmission,machine translations
General,Computer Vision;https://github.com/facebookresearch/detectron2;image segmentation,signal detection,world wide web,neural networks,computer imaging and vision,social networks,education
General,Computer Vision;https://github.com/pokurin123/pix2pix_try;image quality,operating systems,edge detection,image processing,digital image storage,image enhancement,image matching,text detection,optical character recognition,graphics processing unit,image segmentation,object recognition,image retrieval,program processors,pattern recognition,imaging systems,multi core,face recognition,image analysis,color image processing,parallel programming,multiprocessing systems
General,Computer Vision;https://github.com/tianhai123/pix2pix;image quality,operating systems,edge detection,image processing,digital image storage,image enhancement,image matching,text detection,optical character recognition,graphics processing unit,image segmentation,object recognition,image retrieval,program processors,pattern recognition,imaging systems,multi core,face recognition,image analysis,color image processing,parallel programming,multiprocessing systems
General,Computer Vision;https://github.com/wkhademi/ImageEnhancement;computer system recovery,optical resolving power,background subtraction,image processing,shadow detections,image analysis,program processors
General,Reinforcement Learning;https://github.com/arrival-ltd/catalyst-rl-tutorial;circuit simulation,motion planning,intelligent robots,computer science,robot programming,multiagent system,neural networks,robot applications,inference engines,product design,reinforcement learning,computer systems
General,Natural Language Processing;https://github.com/scrayish/ML_NLP;linguistics,artificial intelligence,neural networks,combinatorial mathematics,game theory,software engineering,semantics
General,Computer Vision;https://github.com/abhimangalms/PlantDoctor;signal detection,smart phones,classifiers,sociology,classification methods
General,Computer Vision;https://github.com/rishikksh20/CrossViT-pytorch;color image processing,image quality,imaging systems,image matching,computer vision,robots,pattern recognition,classification methods
General,Computer Vision;https://github.com/mit-han-lab/amc;computer science,wimax,adaptive modulation and coding,mathematics,signal processing,software architecture,image compression
General,Computer Vision;https://github.com/johngear/eecs504;privacy preserving,computer hardware,machine learning,computer security,computer imaging and vision,face recognition
General,Computer Vision;https://github.com/dmizr/phuber;gaussian noise (electronic),computer system recovery,white noise,database systems,machine learning,mathematics,clustering algorithms,spurious signal noise
General,Natural Language Processing;https://github.com/akashe/Python-Code-Generation;object oriented programming,linguistics,embedded systems,verification and validation,natural language processing,translation (languages),network architecture,software engineering,information theory,semantics,sensors,software architecture
General,Natural Language Processing;https://github.com/mrdbourke/tensorflow-deep-learning;machine learning,multiplying circuits,semantics,image resolution,computer imaging and vision,imaging systems,reengineering,e-learning,world wide web,human computer interaction,artificial intelligence,social networks,hidden layers,text processing,neural networks,linguistics,verification and validation,education,social media
General,Computer Vision;https://github.com/sulasen/race-events-recognition-1;knowledge based systems,image segmentation,signal detection,collision avoidance,human computer interaction,neural networks,genotype,motion estimation,spectral clustering,gesture recognition,classification methods,genetic association
General,Computer Vision;https://github.com/RajdeepBiswas/Manufacturing-Quality-Inspection;color image processing,pattern recognition,object recognition,image quality,discrete cosine transforms,image retrieval,computer imaging and vision,digital image storage,image processing,wavelet transforms,image matching,image analysis,optical character recognition,sales,imaging systems
General,Natural Language Processing;https://github.com/huawei-noah/Pretrained-Language-Model;character recognition,image segmentation,linguistics,artificial intelligence,database systems,natural languages,inference engines,data mining,computational linguistics,data communication systems,mathematics,correlation analysis,chinese characters,text processing
General,Computer Vision;https://github.com/uzielroy/CUT;color image processing,computer system recovery,image quality,discriminant analysis,image matching,pattern recognition,software architecture
General,Natural Language Processing,Computer Vision;https://github.com/UdbhavPrasad072300/Transformer-Implementations;color image processing,image quality,object recognition,image retrieval,digital image storage,image processing,image matching,image analysis,optical character recognition,pattern recognition,imaging systems,classification methods
General,Computer Vision;https://github.com/Jittor/JDet;program compilers,object recognition,flash memory,human computer interaction,embedded systems,neural networks,operating systems,machine learning,program processors
General;https://github.com/TalFurman/Implict_neural_representation_of_images;computer science,nonlinear equations,game theory,optical radar,video streaming,3d objects,3d object,helmholtz equation,program processors,electronic mail,level set functions,3d data,image reconstruction,signal analysis,education,3d scenes,level set method,3d modelling,differential equations
General,Natural Language Processing;https://github.com/Bhavnicksm/vanilla-transformer-jax;h.264/avc,bit rates,programming theory,education,reconfigurable architectures
General,Computer Vision;https://github.com/PointsCoder/VOTR;graphics processing unit,computer system recovery,parallel programming,object recognition,digital storage,flash memory,parallel computing,program processors
General,Computer Vision;https://github.com/surajkarki66/Generative-Model-Deep-Learning;stochastic,multiple antenna,random number generation,white noise,signal to noise ratio,wiretap channel,physical layer security,secrecy capacity,spurious signal noise,gaussian distribution
General,Computer Vision;https://github.com/iArunava/ResNet;proposed architectures,embedded systems,network architecture,sensors,software engineering,object oriented programming,pattern recognition,software architecture
General,Natural Language Processing;https://github.com/yumoh/speech-keras;open source software,acoustic waves,software development,character recognition,source codes,machine learning,signal processing
General,Natural Language Processing;https://github.com/pengshuyuan/Bert;random access storage,cuda,operating systems,machine learning,computational linguistics,semantics,software architecture,character recognition,commerce,computational efficiency,mathematics,program processors,cloud computing,sensors,computer systems,artificial intelligence,cache memory,information retrieval,computer system recovery,buffer storage,digital storage,linguistics,scalable video coding,inference engines,education,storage allocation (computer)
General,Computer Vision;https://github.com/feidfoe/AdjustBnd4Imbalance;color image processing,image quality,verification and validation,image matching,education,pattern recognition,software architecture
General,Natural Language Processing;https://github.com/RenXiangyuan/tf_bert;random access storage,cuda,operating systems,machine learning,computational linguistics,semantics,software architecture,character recognition,grid computing,commerce,computational efficiency,program processors,cloud computing,sensors,computer systems,artificial intelligence,cache memory,information retrieval,computer system recovery,buffer storage,digital storage,linguistics,scalable video coding,inference engines,storage allocation (computer)
General,Computer Vision;https://github.com/epfl-ml-reproducers/subspace-attack-reproduction;computing environments,cloud computing,inverse problems,random access storage,communication,computer crime,computing paradigm,commerce,regularization,cloud providers,computing resource,distributed database systems,mobile devices,network security,parameterization,software as a service
General,Natural Language Processing;https://github.com/hiun/learning-transformers;open source software,multiplying circuits,computational linguistics,semantics,source codes,mathematics,imaging systems,software development,hierarchical system,artificial intelligence,visualization,translation (languages),matrix algebra,graphic methods,graph theory,text processing,image reconstruction,stochastic,neural networks,linguistics,mathematical transformations,inference engines,data mining,information theory,correlation analysis
Sequential,General,Natural Language Processing;https://github.com/vGkatsis/Chat_Bot_DL;image segmentation,neural networks,xml,user interfaces,natural language processing,mathematics,program processors,data privacy
General,Computer Vision;https://github.com/sisl/MultiAgentVariationalOcclusionInference;computer science,engineering,multiagent system,bayesian methods,computer hardware,markov decision processes,neural networks,verification and validation,sensor data fusion,machine learning,inference engines,theoretical computer science,auto encoders
General,Natural Language Processing;https://github.com/bplank/teaching-dl4nlp;linguistics,artificial intelligence,knowledge representation,curricula,education,semantics
General,Computer Vision;https://github.com/adler-j/bwgan;color image processing,image quality,superresolution,image processing,image matching,image analysis,pattern recognition,imaging systems
General,Natural Language Processing;https://github.com/kolloldas/torchnlp;program interpreters,information retrieval,image segmentation,linguistics,artificial intelligence,neural networks,computer software reusability,machine learning,natural languages,inference engines,education,computational linguistics,pattern recognition
General,Reinforcement Learning;https://github.com/cdesilv1/sc2_ai_cdes;scripting languages,computer science,computer vision,mimo systems,game theory,mathematics,program processors,fading channels,decision feedback equalizers,world wide web,software design,genotype,reinforcement learning,optimal solutions,knowledge based systems,multiagent system,backpropagation algorithm,interactive computer graphics,genetic association
General,Natural Language Processing;https://github.com/SkullFang/ULMFIT_NLP_Classification;open source software,software development,source codes,video streaming,recommender systems,classification methods,text processing
General,Computer Vision;https://github.com/gcr/torch-residual-networks;graphics processing unit,time varying networks,architecture types,parallel programming,machine learning,stochastic processes,education,software architecture
General,Computer Vision;https://github.com/kuc2477/pytorch-vae;image reconstruction,user interfaces,visualization,graphic methods,optical flows,numerical methods
General,Computer Vision;https://github.com/junhocho/SRGAN;low resolution images,routing algorithms,computer programming languages,multi path routing,routing protocols,high level languages,graphics processing unit,steganography,image segmentation,signal to noise ratio,image compression,world wide web,human computer interaction,optical resolving power,face recognition,corundum,backup path,parallel programming,object oriented programming
General,Computer Vision;https://github.com/YudeWang/UNet-Satellite-Image-Segmentation;object recognition,image processing,image annotation,image analysis,communication satellites,pattern recognition
General,Computer Vision;https://github.com/taki0112/Spectral_Normalization-Tensorflow;blind source separation,signal analysis,correlation methods,time domain,time frequency analysis,hyper-spectral images
General,Computer Vision;https://github.com/0492wzl/tensorflow_slim_densenet;computer system recovery,buffer storage,random access storage,operating systems,verification and validation,reduced instruction set computing,computer workstations,program processors
General,Reinforcement Learning;https://github.com/vladfi1/universe-starter-agent;multiagent system,flash memory,genotype,mathematics,smart cards,gpu,genetic association
General,Computer Vision;https://github.com/gongenhao/GANCS;signal to noise ratio,optical resolving power,image reconstruction,mathematics
General,Computer Vision;https://github.com/EMsnap/RobotSorting;wireless networks,program compilers,computer science,intrusion detection,operating systems,telecommunication traffic,bandwidth,web 2.0,graphics processing unit,object recognition,video streaming,information systems,user interfaces,program processors,knowledge management,mpi,mobile telecommunication systems,malwares,parallel programming,wireless local area networks (wlan),cloud providers,telephone sets
General,Computer Vision;https://github.com/meg965/pytorch-rl;evolutionary algorithms,particle swarm optimization (pso),computer science,image quality,image processing,digital image storage,stochastic processes,image matching,optical character recognition,optical flows,spurious signal noise,correlation analysis,object recognition,white noise,image retrieval,software,mathematics,program processors,pattern recognition,imaging systems,computer systems,gaussian noise (electronic),robots,image analysis,reinforcement learning,numerical methods,image reconstruction,stochasticity,color image processing,parallel programming,information theory,numerical model
General;https://github.com/CMU-Perceptual-Computing-Lab/openpose_unity_plugin;hand-gesture recognition,signal detection,image segmentation,object recognition,face recognition,hand tracking,motion estimation,numerical model,imaging systems
General,Computer Vision;https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix;optical character recognition,graphics processing unit,color image processing,computer system recovery,computer science,image quality,object recognition,parallel programming,operating systems,image retrieval,digital image storage,image processing,image matching,image analysis,program processors,pattern recognition,imaging systems
General,Computer Vision;https://github.com/DevashishJoshi/Transferring-GANs-FYP;graphics processing unit,scripting languages,parallel programming,e-commerce,game theory,software engineering,program processors
General,Computer Vision;https://github.com/bionanoimaging/cellSTORM-Tensorflow;telephone,telecommunication equipment,computer system recovery,computer science,operating systems,smart phones,education,program processors,telephone sets,numerical model,cellular telephone systems
General,Computer Vision;https://github.com/gaetandi/cheXpert;signal distortion,h.264/avc,signal detection,coding efficiency,bit rates,macro block,video coding,communication channels,low power
General,Computer Vision;https://github.com/JianGoForIt/YellowFin_Pytorch;image segmentation,closed-form expression,syntactics,neural networks,natural language processing,mathematics,numerical model,optical fibers
General,Computer Vision;https://github.com/hongyi-zhang/Fixup;high level languages,active contours,natural language processing,translation (languages),education,program processors,information theory,level set functions
General;https://github.com/lncarter/Openpose;image reconstruction,graphics processing unit,nanocantilevers,image segmentation,object recognition,parallel programming,neural networks,medium access control,face detection,face recognition,program processors,imaging systems,gpgpu,motion estimation,smart cards,wireless telecommunication systems
General,Computer Vision;https://github.com/jacquelinelala/GFN;graphics processing unit,steganography,signal to noise ratio,parallel programming,optical resolving power,software,verification and validation,image compression,image restoration
General,Computer Vision;https://github.com/VitoRazor/Gan_Architecture;blind source separation,signal analysis,machine learning,support vector machine,correlation methods,time domain,time frequency analysis,hyper-spectral images
General,Computer Vision;https://github.com/JobQiu/hackrice;image quality,operating systems,edge detection,digital image storage,image processing,image matching,optical character recognition,image segmentation,object recognition,image retrieval,program processors,pattern recognition,imaging systems,multi core,face recognition,image analysis,color image processing,computer system recovery,chip multiprocessor,numerical model
General,Computer Vision;https://github.com/zsl1996/mask;bayesian methods,attribute weight,intrusion detection,probability distributions,neural networks,cuda,inference engines,game theory,program processors
