Labels;Repo;Predictions
General,Computer Vision;https://github.com/sisl/MultiAgentVariationalOcclusionInference;Unknown
General,Natural Language Processing;https://github.com/bplank/teaching-dl4nlp;Natural Language Processing
General,Computer Vision;https://github.com/adler-j/bwgan;Computer Vision
General,Natural Language Processing;https://github.com/kolloldas/torchnlp;Natural Language Processing
General,Reinforcement Learning;https://github.com/cdesilv1/sc2_ai_cdes;Playing Games
General,Natural Language Processing;https://github.com/SkullFang/ULMFIT_NLP_Classification;Natural Language Processing
General,Computer Vision;https://github.com/gcr/torch-residual-networks;Computer Vision
General,Computer Vision;https://github.com/kuc2477/pytorch-vae;Computer Vision
General,Computer Vision;https://github.com/junhocho/SRGAN;Computer Vision
General,Computer Vision;https://github.com/YudeWang/UNet-Satellite-Image-Segmentation;Computer Vision
General,Computer Vision;https://github.com/taki0112/Spectral_Normalization-Tensorflow;Computer Vision
General,Computer Vision;https://github.com/0492wzl/tensorflow_slim_densenet;Computer Vision
General,Reinforcement Learning;https://github.com/vladfi1/universe-starter-agent;Playing Games
General,Computer Vision;https://github.com/gongenhao/GANCS;Computer Vision
General,Computer Vision;https://github.com/EMsnap/RobotSorting;Computer Vision
General,Computer Vision;https://github.com/meg965/pytorch-rl;Computer Vision
General;https://github.com/CMU-Perceptual-Computing-Lab/openpose_unity_plugin;Computer Vision
General,Computer Vision;https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix;Computer Vision
General,Computer Vision;https://github.com/DevashishJoshi/Transferring-GANs-FYP;Computer Vision
General,Computer Vision;https://github.com/bionanoimaging/cellSTORM-Tensorflow;Computer Vision
General,Computer Vision;https://github.com/gaetandi/cheXpert;Computer Vision
General,Computer Vision;https://github.com/JianGoForIt/YellowFin_Pytorch;Natural Language Processing
General,Computer Vision;https://github.com/hongyi-zhang/Fixup;Computer Vision
General;https://github.com/lncarter/Openpose;Computer Vision
General,Computer Vision;https://github.com/jacquelinelala/GFN;Computer Vision
General,Computer Vision;https://github.com/VitoRazor/Gan_Architecture;Computer Vision
General,Computer Vision;https://github.com/JobQiu/hackrice;Computer Vision
General,Computer Vision;https://github.com/zsl1996/mask;Computer Vision
General,Computer Vision;https://github.com/itsuki8914/pix2pix-automaticColorization;Computer Vision
General;https://github.com/dragen1860/MAML-Pytorch-RL;Playing Games
General,Computer Vision;https://github.com/cvp19g2/cvp19g2;Computer Vision
General,Computer Vision;https://github.com/GeekLiB/caffe-model;Computer Vision
General,Computer Vision;https://github.com/conan7882/tf-gans;Computer Vision
General,Computer Vision;https://github.com/johntd54/stanford_car;Computer Vision
General,Natural Language Processing;https://github.com/lucidrains/sinkhorn-transformer;Natural Language Processing
General,Computer Vision;https://github.com/joshpc/StyledFontGAN;Computer Vision
General;https://github.com/wangshanmin/interface;Computer Vision
General,Computer Vision;https://github.com/gargarchit/60DaysOfUdacity;Playing Games
General,Computer Vision;https://github.com/hysts/pytorch_resnet;Computer Vision
General,Natural Language Processing;https://github.com/lucidrains/reformer-pytorch;Natural Language Processing
General,Computer Vision;https://github.com/worldlife123/maskrcnn-benchmark;Computer Vision
General,Natural Language Processing;https://github.com/junhahyung/bert_transfer;Natural Language Processing
General,Computer Vision;https://github.com/EmilienDupont/wgan-gp;Computer Vision
General,Computer Vision;https://github.com/Wordbe/MobileNetV2;Computer Vision
General,Computer Vision;https://github.com/stqc/Simple_CycleGAN_pytorch;Computer Vision
General,Computer Vision;https://github.com/solapark/da_yolo;Computer Vision
General,Computer Vision;https://github.com/rainofmine/Face_Attention_Network;Computer Vision
General;https://github.com/sunil-rival/insightface;Computer Vision
General,Computer Vision;https://github.com/misuy/misuy_style_transfer_bot;Computer Vision
General,Computer Vision;https://github.com/youngwanLEE/centermask2;Computer Vision
General,Computer Vision;https://github.com/Hayashi-Yudai/ML_models;Computer Vision
General,Computer Vision;https://github.com/maiyuxiaoge/srgan;Computer Vision
General,Natural Language Processing;https://github.com/icewing1996/bert_dep;Natural Language Processing
General,Natural Language Processing;https://github.com/facebookresearch/adaptive-span;Natural Language Processing
General,Computer Vision;https://github.com/lucidrains/big-sleep;Computer Vision
General,Computer Vision;https://github.com/anguyen8/sam;Computer Vision
General;https://github.com/vsitzmann/siren;Unknown
General,Natural Language Processing;https://github.com/graykode/gpt-2-Pytorch;Natural Language Processing
General,Computer Vision;https://github.com/Video-Streaming-Pipeline/Video-Streaming-Pipeline;Computer Vision
General,Computer Vision;https://github.com/wodyjowski/colab-training;Computer Vision
Sequential,General;https://github.com/clemkoa/ntm;Natural Language Processing
General,Reinforcement Learning;https://github.com/urw7rs/spiralpp;Computer Vision
General,Computer Vision;https://github.com/anibali/dsnt-pose2d;Computer Vision
Sequential,General;https://github.com/mitsu-h/deepvoice3;Speech
General,Computer Vision;https://github.com/wonjaek36/sodeep_final;
General,Computer Vision;https://github.com/lab-midas/med_segmentation;Computer Vision
General,Computer Vision;https://github.com/spacegoing/stylegan2;Computer Vision
General,Computer Vision;https://github.com/Cadene/pretrained-models.pytorch;Computer Vision
General,Computer Vision;https://github.com/abaietto/neural_ode_classification;Computer Vision
General,Natural Language Processing;https://github.com/tensorflow/mesh;Computer Vision
General,Computer Vision;https://github.com/AdeelH/pytorch-multi-class-focal-loss;Computer Vision
General,Computer Vision;https://github.com/Halesu/4th-ML100Days;Computer Vision
General,Natural Language Processing;https://github.com/thecodemasterk/BERT;Natural Language Processing
General,Computer Vision;https://github.com/amanjaiswal73892/change_my_pet;Computer Vision
General,Computer Vision;https://github.com/ShreyasArthur/StyleGAN-2-with-Urban-Plans;Computer Vision
General,Computer Vision;https://github.com/rahulchaurasiya1/cautious-waddle;Computer Vision
General,Computer Vision;https://github.com/Herge/GAN2;Computer Vision
General,Computer Vision;https://github.com/kampta/pytorch-distributions;Unknown
General,Computer Vision;https://github.com/RezisEwig/cyclegan;Computer Vision
General,Computer Vision;https://github.com/cbritom/GAN;Computer Vision
General,Natural Language Processing;https://github.com/Walter-B/bert-20-classes;Natural Language Processing
General,Natural Language Processing;https://github.com/llx666/git_demo;Natural Language Processing
General,Computer Vision;https://github.com/fengye-lu/PyTorch-SRGAN;Computer Vision
General;https://github.com/Gryffindor112358/Arcface;Computer Vision
General;https://github.com/xar47x/pose;Computer Vision
General,Computer Vision;https://github.com/jdbugs/stylegan2encoder;Computer Vision
General,Reinforcement Learning;https://github.com/PaulCharnay/Projet_AIF;Playing Games
Sequential,General,Natural Language Processing;https://github.com/SachinIchake/KALM;Natural Language Processing
General,Computer Vision;https://github.com/YiteWang/CS547-final-project;Computer Vision
General;https://github.com/malin9402/retiface;Computer Vision
General,Computer Vision;https://github.com/agutuyen-dev/darknet;Computer Vision
General,Natural Language Processing;https://github.com/jinzhenfan/BERT;Natural Language Processing
General;https://github.com/radiabouhali/test;Computer Vision
General,Computer Vision;https://github.com/changwoolee/WGAN-GP-tensorflow;Computer Vision
General,Natural Language Processing,Computer Vision;https://github.com/lukas-blecher/LaTeX-OCR;Natural Language Processing
General,Natural Language Processing;https://github.com/Gaozhen0816/BERT_QA_for_Chinese;Natural Language Processing
General,Computer Vision;https://github.com/woctezuma/steam-stylegan2-ada;Computer Vision
General,Computer Vision;https://github.com/PPPrior/i3d-pytorch;Computer Vision
General,Natural Language Processing;https://github.com/dccuchile/CC6204;Natural Language Processing
Sequential,General;https://github.com/CorentinJ/Real-Time-Voice-Cloning;Speech
General,Reinforcement Learning,Natural Language Processing;https://github.com/lucidrains/x-transformers;Natural Language Processing
General,Natural Language Processing;https://github.com/harshit158/paper-dots;Natural Language Processing
General,Computer Vision;https://github.com/kikacaty/RAP_Benchmark;Computer Vision
General,Computer Vision;https://github.com/vijishmadhavan/SkinDeep;Computer Vision
General;https://github.com/kikacaty/adv_guide;Computer Vision
General,Computer Vision;https://github.com/bozliu/E2E-Keyword-Spotting;Computer Vision
General,Computer Vision;https://github.com/serengil/deepface;Computer Vision
General;https://github.com/mgolnezhad/openpose;Computer Vision
General,Computer Vision;https://github.com/ArkaJU/Image-Colorization-CycleGAN;Computer Vision
General,Computer Vision;https://github.com/wangermeng2021/Scaled-YOLOv4-tensorflow2;Computer Vision
Sequential,General,Audio,Natural Language Processing;https://github.com/facebookresearch/fairseq;Natural Language Processing
General,Natural Language Processing;https://github.com/hfxunlp/transformer;Natural Language Processing
General,Computer Vision;https://github.com/ElliottKasoar/gene-dag-vae;Medical
General,Computer Vision;https://github.com/bupt-ai-cz/LLVIP;Computer Vision
General,Computer Vision;https://github.com/DrMMZ/RetinaNet;Computer Vision
General,Natural Language Processing;https://github.com/DevSinghSachan/multilingual_nmt;Natural Language Processing
General,Computer Vision;https://github.com/Visual-Behavior/aloception;Computer Vision
General,Computer Vision;https://github.com/NathanDeMaria/AugmentedCycleGAN;Computer Vision
General,Natural Language Processing;https://github.com/SYangDong/bert-with-frozen-code;Natural Language Processing
General,Computer Vision;https://github.com/daintlab/ct-denoising;Computer Vision
General,Natural Language Processing;https://github.com/MarcBS/keras;Natural Language Processing
General,Computer Vision;https://github.com/flyyufelix/DenseNet-Keras;Computer Vision
General,Computer Vision;https://github.com/ShaojieJiang/tldr;Natural Language Processing
General,Computer Vision;https://github.com/dungxibo123/vae;Unknown
General,Computer Vision;https://github.com/sunlizhuang/YOLOv1-PaddlePaddle;Computer Vision
General,Computer Vision;https://github.com/SajjadAemmi/SCR-Face-Detection;Computer Vision
General,Natural Language Processing;https://github.com/rojagtap/abstractive_summarizer;Natural Language Processing
General,Computer Vision;https://github.com/hanehein921/StyleGAN2;Computer Vision
General,Computer Vision;https://github.com/thomaspool97/StyleGAN2;Computer Vision
General,Graphs;https://github.com/snap-stanford/ConE;Unknown
General,Natural Language Processing;https://github.com/h4ste/oscar;Natural Language Processing
General,Computer Vision;https://github.com/titu1994/Image-Super-Resolution;Computer Vision
General,Computer Vision;https://github.com/xunings/styleganime2;Computer Vision
General,Natural Language Processing;https://github.com/prajjwal1/adaptive_transformer;Natural Language Processing
General,Computer Vision;https://github.com/kyunghwan/darknet_v3;Computer Vision
Sequential,General,Natural Language Processing;https://github.com/alexandra-chron/ntua-slp-wassa-iest2018;Natural Language Processing
General,Computer Vision;https://github.com/Robinatp/Deeplab_Tensorflow;Computer Vision
General,Computer Vision;https://github.com/tianhai123/yolov3;Computer Vision
General,Computer Vision;https://github.com/kingcheng2000/GAN;Computer Vision
Sequential,General;https://github.com/vganesh46/awd-lstm-pytorch-implementation;Natural Language Processing
General,Reinforcement Learning;https://github.com/miyosuda/async_deep_reinforce;Playing Games
General,Computer Vision;https://github.com/MrRen-sdhm/Embedded_Multi_Object_Detection_CNN;Computer Vision
General,Computer Vision;https://github.com/Vignesh-95/cnn-semantic-segmentation-satellite-images;Computer Vision
General,Computer Vision;https://github.com/kekeller/semantic_soy_deeplabv3plus;Computer Vision
General,Computer Vision;https://github.com/HyeongJu916/Boaz-SR-ESRGAN-PyTorch;Computer Vision
General,Reinforcement Learning;https://github.com/ikostrikov/pytorch-a3c;Playing Games
General,Natural Language Processing;https://github.com/jageshmaharjan/BERT_Service;Natural Language Processing
General,Reinforcement Learning;https://github.com/deepmind/rlax;Playing Games
General,Computer Vision;https://github.com/fmu2/NICE;Computer Vision
General,Computer Vision;https://github.com/jackaduma/CycleGAN-VC2;Computer Vision
General,Computer Vision;https://github.com/sidneykingsley/pix2pix-tensorflow;Computer Vision
General;https://github.com/dragen1860/DARTS-PyTorch;
Sequential,General;https://github.com/jmyrberg/finnlem;Natural Language Processing
General,Computer Vision;https://github.com/utunga/pix2pix-tensorflow;Computer Vision
General,Computer Vision;https://github.com/Montia/bw2color;Computer Vision
General,Computer Vision;https://github.com/tjwei/stylegan2_workshop;Computer Vision
General,Computer Vision;https://github.com/renmengye/revnet-public;Computer Vision
Sequential,General,Computer Vision;https://github.com/osmr/imgclsmob;Computer Vision
General,Computer Vision;https://github.com/anookeen/yolo;Computer Vision
General,Computer Vision;https://github.com/cbxs123/Advanced-Deep-Learning-with-Keras;Computer Vision
General,Computer Vision;https://github.com/rtanno21609/AdaptiveNeuralTrees;
General;https://github.com/cybertronai/pytorch-lamb;Unknown
General,Computer Vision;https://github.com/ankit-vaghela30/Google-landmark-prediction;Computer Vision
General,Computer Vision;https://github.com/nitinvwaran/UrbanSound8K-audio-classification-with-ResNet;Computer Vision
General,Computer Vision;https://github.com/yxgeee/MMT;Computer Vision
General,Computer Vision;https://github.com/LordAlucard90/Variational-AutoEncoder-For-Novelty-Detection;Computer Vision
General,Computer Vision;https://github.com/ujsyehao/mobilenetv3-ssd;Computer Vision
General,Computer Vision;https://github.com/eric-erki/yolov3;Computer Vision
General;https://github.com/jreisam/Unity-OpenPose-Edutable;Computer Vision
General,Computer Vision;https://github.com/anujtyagi2802/SRGAN;
General,Computer Vision;https://github.com/pavasgdb/Anomaly-detector-using-GAN;Computer Vision
General,Computer Vision;https://github.com/mingxingtan/efficientnet;Computer Vision
General,Computer Vision;https://github.com/minoring/batch-norm-visualize;Computer Vision
General,Computer Vision;https://github.com/AutomatedAI/deeplab_segmentation_example;Computer Vision
General,Natural Language Processing;https://github.com/kpot/keras-transformer;Natural Language Processing
General,Computer Vision;https://github.com/MeAmarP/Fruit-Classification;Computer Vision
General,Natural Language Processing;https://github.com/Satan012/BERT;Natural Language Processing
General,Computer Vision;https://github.com/xinkuansong/modified-resnet-acc-0.9638-10.7M-parameters;Computer Vision
General,Computer Vision;https://github.com/Shantanu48114860/Handwritten-Character-Recognition;
General,Computer Vision;https://github.com/peteryuX/arcface-tf2;
General,Computer Vision;https://github.com/Miracle1991/DetectionHub;
General,Natural Language Processing;https://github.com/felixSchober/ABSA-Transformer;
General,Computer Vision;https://github.com/DLHacks/pix2pix_PAN;
General,Computer Vision;https://github.com/EmptySamurai/pytorch-reconet;
General,Reinforcement Learning;https://github.com/liuyuezhang/pyrl;
General,Computer Vision;https://github.com/MicroprocessorX069/Comparison-of-DC-GANS-and-SA-GANS;
General,Computer Vision;https://github.com/mbbrodie/stylegan2;
General,Computer Vision;https://github.com/pradyu1/Defect-Classification;
General,Reinforcement Learning;https://github.com/georgesung/TD3;
General,Computer Vision;https://github.com/busyboxs/Some-resources-useful-for-me;
General,Computer Vision;https://github.com/ShaofengZou/A-CNN-Based-Blind-Denoising-Method;
General,Computer Vision;https://github.com/hwalsuklee/tensorflow-mnist-MLP-batch_normalization-weight_initializers;
General;https://github.com/flymin/darts;
General,Natural Language Processing;https://github.com/lennonzurich/lalala;
General,Computer Vision;https://github.com/Xinyi6/CIFAR10-CNN-by-Keras;
General,Computer Vision;https://github.com/kang205/DVBPR;
General,Computer Vision;https://github.com/mhuse/StyleGAN2LatentspaceInterpolation;
General,Computer Vision;https://github.com/LSSTDESC/DeblenderVAE;
General,Computer Vision;https://github.com/saunack/MobileNetv2-SSD;
General,Computer Vision;https://github.com/saimj7/People-Counting-in-Real-Time;
General;https://github.com/1170500804/MoCo;
General,Computer Vision;https://github.com/Aiwizo/template-nvae;
General,Computer Vision;https://github.com/chengyangfu/retinamask;
General,Computer Vision;https://github.com/PaddlePaddle/PaddleSeg;
General,Computer Vision;https://github.com/arturml/pytorch-wgan-gp;
General,Natural Language Processing;https://github.com/u7javed/Transformer-Multi-Language-Translator;
General,Computer Vision;https://github.com/Arcady1/Doodle-Recognition-Web;
General,Computer Vision;https://github.com/Stomper10/CheXpert;
General,Computer Vision;https://github.com/suvasis/birdnet2cs231n;
General,Computer Vision;https://github.com/jaketae/g-mlp;
General,Computer Vision;https://github.com/alex-f1tor/Image-Caption;
General;https://github.com/liang-faan/openpose;
General;https://github.com/mengfu188/insightface.bak;
General,Computer Vision;https://github.com/V0LsTeR/mySRResNet;
General,Computer Vision;https://github.com/malin9402/2020-0221;
General;https://github.com/cfl0122/face;
General;https://github.com/mayankk6196/darts-python;
General,Computer Vision;https://github.com/Jmak12/Iris1;
General,Computer Vision;https://github.com/ymittal23/PlayWithCifar;
General;https://github.com/siddikui/Fast-DARTS;
General,Computer Vision;https://github.com/zhusiling/GCNet;
General,Computer Vision;https://github.com/witwickey/darknet;
General,Computer Vision;https://github.com/edgarrt/custom_darknet;
General,Computer Vision;https://github.com/vierachen/maskrcnn;
General,Natural Language Processing;https://github.com/ViktorStagge/CompressiveTransformer;
General,Natural Language Processing;https://github.com/studio-ousia/luke;
General,Computer Vision;https://github.com/lavoiems/Cats-UDT;
General,Computer Vision;https://github.com/L0SG/NanoFlow;
General,Computer Vision;https://github.com/karoly-hars/GAN_image_colorizing;
General,Computer Vision;https://github.com/SauravMaheshkar/gMLP;
General,Computer Vision;https://github.com/asad-62/IVP-DNN;
General,Computer Vision;https://github.com/gfursin/browser-extension-for-reproducible-research;
General,Computer Vision;https://github.com/JaneliaSciComp/SongExplorer;
General,Natural Language Processing;https://github.com/colorfulscoop/tfdlg;
General,Natural Language Processing;https://github.com/Chang-Chia-Chi/SaintPlus-Knowledge-Tracing-Pytorch;
General,Computer Vision;https://github.com/XieBaoshi/stylegan2;
Sequential,General,Natural Language Processing;https://github.com/trthackthonFighters/ConvBert;Natural Language Processing
General,Computer Vision;https://github.com/AlexeyAB/darknet;
General,Computer Vision;https://github.com/rishikksh20/ResMLP-pytorch;
General,Computer Vision;https://github.com/Atmosphere-art/Self-Attention-GAN;
General,Computer Vision;https://github.com/UnofficialJuliaMirror/DeepMark-deepmark;
General,Reinforcement Learning;https://github.com/GhadaSokar/Dynamic-Sparse-Training-for-Deep-Reinforcement-Learning;
General,Computer Vision;https://github.com/UdbhavPrasad072300/GANs-Implementations;
General,Computer Vision;https://github.com/datalass1/fastai;
General,Computer Vision;https://github.com/bettersituation/rigid_batch_norm;
General,Natural Language Processing;https://github.com/thanhlong1997/bert_quora;
General;https://github.com/mnikitin/LookaheadOptimizer-mx;
General,Natural Language Processing;https://github.com/meizi1114/bert;
General,Computer Vision;https://github.com/tbullmann/imagesegmentation-tensorflow;
General,Computer Vision;https://github.com/yaxingwang/MineGAN;
General,Computer Vision;https://github.com/phymhan/stylegan2-pytorch;
General,Natural Language Processing;https://github.com/lucashueda/long_sentence_transformer;
General,Natural Language Processing;https://github.com/zhang-huihui/git-repository;
General,Computer Vision;https://github.com/SarderLab/WSI-cycleGAN;
General,Computer Vision;https://github.com/vietvulong/Python-People-Counting-in-Real-Time-master;
General,Natural Language Processing;https://github.com/truclycs/ocr_seq2seq;
General,Computer Vision;https://github.com/Hayashi-Yudai/SRGAN;
General,Computer Vision;https://github.com/ThanhPham1987/ANN;
General,Computer Vision;https://github.com/DanielLongo/cGANs;
General,Computer Vision;https://github.com/jiajunhua/facebookresearch-Detectron;
Sequential,General;https://github.com/loudinthecloud/pytorch-ntm;Natural Language Processing
General,Computer Vision;https://github.com/mgrcar/pix2pix;
General,Computer Vision;https://github.com/t0nberryking/DCGAN256;
General;https://github.com/sinamoradian/SNIP-NAS-2;
General,Computer Vision;https://github.com/andrearama/Deep-Auxiliary-Classifier-GAN;
General,Computer Vision;https://github.com/JagadishSivakumar/Image-Classifier-ml5.js;
General,Computer Vision;https://github.com/fuadkhairi/darknet_yolo_train;
General,Computer Vision;https://github.com/deepmind/dm-haiku;
General,Computer Vision;https://github.com/baldassarreFe/deep-koalarization;
