Label;Repo;Text
Other;Repo;""" there 's no question that some of those workers and managers contracted diseases said phillips vice president of human resources for & """
Other;Repo;""" but you have to recognize that these events took place N years ago """
Other;Repo;""" it has no bearing on our work force today """
Other;Repo;""" yields on money-market mutual funds continued to slide amid signs that portfolio managers expect further declines in interest rates """
Other;Repo;""" the average seven-day compound yield of the N taxable funds tracked by 's money fund report eased a fraction of a percentage point to N N from N N for the week ended tuesday """
Other;Repo;""" compound yields assume reinvestment of dividends and that the current yield continues for a year """
Other;Repo;""" average maturity of the funds ' investments by a day to N days the longest since early august according to donoghue 's """
Other;Repo;""" longer maturities are thought to indicate declining interest rates because they permit portfolio managers to retain relatively higher rates for a longer period """
Other;Repo;""" shorter maturities are considered a sign of rising rates because portfolio managers can capture higher rates sooner """
Other;Repo;""" the average maturity for funds open only to institutions considered by some to be a stronger indicator because those managers watch the market closely reached a high point for the year N days """
Other;Repo;""" nevertheless said editor of money fund report yields may up again before they down because of recent rises in short-term interest rates """
Other;Repo;""" the yield on six-month treasury bills sold at monday 's auction for example rose to N N from N N """
Other;Repo;""" despite recent declines in yields investors continue to pour cash into money funds """
Other;Repo;""" assets of the N taxable funds grew by $ N billion during the latest week to $ N billion """
Other;Repo;""" typically money-fund yields beat comparable short-term investments because portfolio managers can vary maturities and go after the highest rates """
Other;Repo;""" the top money funds are currently yielding well over N N """
Other;Repo;""" dreyfus world-wide dollar the fund had a seven-day compound yield of N N during the latest week down from N N a week earlier """
Other;Repo;""" it invests heavily in dollar-denominated securities overseas and is currently management fees which boosts its yield """
Other;Repo;""" the average seven-day simple yield of the N funds was N N down from N N """
Other;Repo;""" the 30-day simple yield fell to an average N N from N N the 30-day compound yield slid to an average N N from N N """
Other;Repo;""" j.p. vice chairman of grace & co. which holds a N N interest in this company was elected a director """
Other;Repo;""" he succeeds d. formerly a grace vice chairman who resigned """
Other;Repo;""" grace holds three of grace energy 's seven board seats """
Other;Repo;""" pacific first financial corp. said shareholders approved its acquisition by royal ltd. of toronto for $ N a share or $ N million """
Other;Repo;""" the thrift holding company said it expects to obtain regulatory approval and complete the transaction by year-end """
Other;Repo;""" international inc. said its & unit completed the sale of its controls operations to s.p a. for $ N million """
Other;Repo;""" is an italian state-owned holding company with interests in the mechanical engineering industry """
Other;Repo;""" controls based in ohio makes computerized industrial controls systems """
Other;Repo;""" it employs N people and has annual revenue of about $ N million """
Other;Repo;""" the federal government suspended sales of u.s. savings bonds because congress has n't lifted the ceiling on government debt """
Other;Repo;""" until congress acts the government has n't any authority to issue new debt obligations of any kind the treasury said """
Other;Repo;""" the government 's borrowing authority dropped at midnight tuesday to $ N trillion from $ N trillion """
Other;Repo;""" legislation to lift the debt ceiling is in the fight over cutting capital-gains taxes """
Other;Repo;""" the house has voted to raise the ceiling to $ N trillion but the senate is n't expected to act until next week at the earliest """
Other;Repo;""" the treasury said the u.s. will default on nov. N if congress does n't act by then """
Other;Repo;""" clark j. was named senior vice president and general manager of this u.s. sales and marketing arm of japanese auto maker mazda motor corp """
Other;Repo;""" in the new position he will oversee mazda 's u.s. sales service parts and marketing operations """
Other;Repo;""" previously mr. N years old was general marketing manager of chrysler corp. 's chrysler division """
Other;Repo;""" he had been a sales and marketing executive with chrysler for N years """
Other;Repo;""" when it 's time for their the nation 's manufacturing typically jet off to the of resort towns like and hot springs """
Other;Repo;""" not this year """
Other;Repo;""" the national association of manufacturers settled on the capital of indianapolis for its fall board meeting """
Other;Repo;""" and the city decided to treat its guests more like royalty or rock stars than factory owners """
Other;Repo;""" the idea of course to prove to N corporate decision makers that the buckle on the belt is n't so after all that it 's a good place for a company to expand """
Other;Repo;""" on the receiving end of the message were officials from giants like du pont and along with lesser like steel and the valley queen factory """
Other;Repo;""" for the executives joined mayor william h. iii for an evening of the indianapolis and a guest victor """
Other;Repo;""" champagne and followed """
Other;Repo;""" the next morning with a police of executives and their wives to the indianapolis motor by traffic or red lights """
Other;Repo;""" the governor could n't make it so the governor welcomed the special guests """
Other;Repo;""" a buffet breakfast was held in the museum where food and drinks are banned to everyday visitors """
Other;Repo;""" then in the guests ' honor the out four drivers crews and even the official indianapolis N announcer for a exhibition race """
Other;Repo;""" after the race fortune N executives like over the cars and drivers """
Other;Repo;""" no the drivers pointed out they still had space on their machines for another sponsor 's name or two """
Other;Repo;""" back downtown the squeezed in a few meetings at the hotel before the buses again """
Other;Repo;""" this time it was for dinner and a block away """
Other;Repo;""" under the stars and of the indiana nine of the hottest chefs in town fed them indiana and with a """
Other;Repo;""" knowing a and free when they eat one the executives gave the chefs a standing """
Other;Repo;""" more than a few say the treatment them to return to a city for future meetings """
Other;Repo;""" but for now they 're looking forward to their winter meeting in february """
Other;Repo;""" south korea registered a trade deficit of $ N million in october reflecting the country 's economic according to government figures released wednesday """
Other;Repo;""" preliminary by the trade and industry ministry showed another trade deficit in october the fifth monthly setback this year casting a cloud on south korea 's economy """
Other;Repo;""" exports in october stood at $ N billion a mere N N increase from a year earlier while imports increased sharply to $ N billion up N N from last october """
Other;Repo;""" south korea 's economic boom which began in N stopped this year because of prolonged labor disputes trade conflicts and sluggish exports """
Other;Repo;""" government officials said exports at the end of the year would remain under a government target of $ N billion """
Other;Repo;""" despite the gloomy forecast south korea has recorded a trade surplus of $ N million so far this year """
Other;Repo;""" from january to october the nation 's accumulated exports increased N N from the same period last year to $ N billion """
Other;Repo;""" imports were at $ N billion up N N """
Other;Repo;""" newsweek trying to keep pace with rival time magazine announced new advertising rates for N and said it will introduce a new incentive plan for advertisers """
Other;Repo;""" the new ad plan from newsweek a unit of the washington post co. is the second incentive plan the magazine has offered advertisers in three years """
Other;Repo;""" plans that give advertisers discounts for maintaining or increasing ad spending have become permanent at the news and underscore the fierce competition between newsweek time warner inc. 's time magazine and b. 's u.s. news & world report """
Other;Repo;""" alan recently named newsweek president said newsweek 's ad rates would increase N N in january """
Other;Repo;""" a full page in newsweek will cost $ N """
Other;Repo;""" in mid-october time magazine lowered its guaranteed circulation rate base for N while not increasing ad page rates with a lower circulation base time 's ad rate will be effectively N N higher per subscriber a full page in time costs about $ N """
Other;Repo;""" u.s. news has yet to announce its N ad rates """
Other;Repo;""" newsweek said it will introduce the circulation credit plan which space credits to advertisers on renewal advertising """
Other;Repo;""" the magazine will reward with page bonuses advertisers who in N meet or exceed their N spending as long as they spent $ N in N and $ N in N """
Other;Repo;""" mr. said the plan is not an attempt to shore up a decline in ad pages in the first nine months of N newsweek 's ad pages totaled N a drop of N N from last year according to publishers information bureau """
Other;Repo;""" what matters is what advertisers are paying per page and in that department we are doing fine this fall said mr. """
Other;Repo;""" both newsweek and u.s. news have been gaining circulation in recent years without heavy use of electronic to subscribers such as telephones or watches """
Other;Repo;""" however none of the big three recorded circulation gains recently """
Other;Repo;""" according to audit bureau of time the largest had average circulation of N a decrease of N N """
Other;Repo;""" newsweek 's circulation for the first six months of N was N flat from the same period last year """
Other;Repo;""" u.s. news ' circulation in the same time was N down N N """
Other;Repo;""" new england electric system bowed out of the bidding for public service co. of new hampshire saying that the risks were too high and the potential too far in the future to justify a higher offer """
Other;Repo;""" the move leaves united illuminating co. and northeast utilities as the remaining outside bidders for ps of new hampshire which also has proposed an internal reorganization plan in chapter N bankruptcy proceedings under which it would remain an independent company """
Other;Repo;""" new england electric based in mass. had offered $ N billion to acquire ps of new hampshire well below the $ N billion value united illuminating places on its bid and the $ N billion northeast says its bid is worth """
Other;Repo;""" united illuminating is based in new haven conn. and northeast is based in hartford conn """
Other;Repo;""" ps of new hampshire n.h. values its internal reorganization plan at about $ N billion """
Other;Repo;""" john rowe president and chief executive officer of new england electric said the company 's return on equity could suffer if it made a higher bid and its forecasts related to ps of new hampshire such as growth in electricity demand and improved operating did n't come true """
Other;Repo;""" when we raising our bid the risks seemed substantial and persistent over the next five years and the rewards seemed a long way out """
Other;Repo;""" that got hard to take he added """
Other;Repo;""" mr. rowe also noted that political concerns also worried new england electric """
Other;Repo;""" no matter who owns ps of new hampshire after it emerges from bankruptcy proceedings its rates will be among the highest in the nation he said """
Other;Repo;""" that attracts attention """
Other;Repo;""" it was just another one of the risk factors that led to the company 's decision to withdraw from the bidding he added """
Other;Repo;""" wilbur ross jr. of rothschild inc. the financial adviser to the troubled company 's equity holders said the withdrawal of new england electric might speed up the reorganization process """
Other;Repo;""" the fact that new england proposed lower rate increases N N over seven years against around N N boosts proposed by the other two outside bidders complicated negotiations with state officials mr. ross asserted """
Other;Repo;""" now the field is less he added """
Other;Repo;""" separately the federal energy regulatory commission turned down for now a request by northeast seeking approval of its possible purchase of ps of new hampshire """
Other;Repo;""" northeast said it would its request and still hopes for an review by the ferc so that it could complete the purchase by next summer if its bid is the one approved by the bankruptcy court """
Other;Repo;""" ps of new hampshire shares closed yesterday at $ N off N cents in new york stock exchange composite trading """
Other;Repo;""" norman N years old and former president and chief operating officer of toys r us inc. and frederick jr. N chairman of banking corp. were elected directors of this consumer electronics and appliances retailing chain """
Other;Repo;""" they succeed daniel m. retired circuit city executive vice president and robert r. u.s. treasury undersecretary on the board """
Other;Repo;""" commonwealth edison co. was ordered to refund about $ N million to its current and former for illegal rates collected for cost overruns on a nuclear power plant """
Other;Repo;""" the refund was about $ N million more than previously ordered by the illinois commerce commission and trade groups said it may be the largest ever required of a state or local utility """
Other;Repo;""" state court judge richard curry ordered edison to make average refunds of about $ N to $ N each to edison customers who have received electric service since april N including about two million customers who have moved during that period """
Other;Repo;""" judge curry ordered the refunds to begin feb. N and said that he would n't any appeals or other attempts to block his order by commonwealth edison """
Other;Repo;""" the refund pool may not be held through another round of appeals judge curry said """
Other;Repo;""" commonwealth edison said it is already appealing the underlying commission order and is considering appealing judge curry 's order """
Other;Repo;""" the exact amount of the refund will be determined next year based on actual made until dec. N of this year """
Other;Repo;""" commonwealth edison said the ruling could force it to slash its N earnings by $ N a share """
Other;Repo;""" for N commonwealth edison reported earnings of $ N million or $ N a share """
Other;Repo;""" a commonwealth edison spokesman said that tracking down the two million customers whose addresses have changed during the past N N years would be an administrative nightmare """
Other;Repo;""" in new york stock exchange composite trading yesterday commonwealth edison closed at $ N down N cents """
Other;Repo;""" the $ N billion N plant near ill. was completed in N """
Other;Repo;""" in a disputed N ruling the commerce commission said commonwealth edison could raise its electricity rates by $ N million to pay for the plant """
Other;Repo;""" but state courts upheld a challenge by consumer groups to the commission 's rate increase and found the rates illegal """
Other;Repo;""" the illinois supreme court ordered the commission to audit commonwealth edison 's construction expenses and refund any expenses """
Other;Repo;""" the utility has been collecting for the plant 's construction cost from its N million customers subject to a refund since N """
Other;Repo;""" in august the commission ruled that between $ N million and $ N million of the plant 's construction cost was and should be plus interest """
Other;Repo;""" in his ruling judge curry added an additional $ N million to the commission 's calculations """
Other;Repo;""" last month judge curry set the interest rate on the refund at N N """
Other;Repo;""" commonwealth edison now faces an additional refund on its rate that the illinois appellate court has estimated at $ N million """
Other;Repo;""" and consumer groups hope that judge curry 's N order may set a precedent for a second nuclear rate case involving commonwealth edison 's N plant """
Other;Repo;""" commonwealth edison is seeking about $ N million in rate increases to pay for N """
Other;Repo;""" the commission is expected to rule on the N case by year end """
Other;Repo;""" last year commonwealth edison had to refund $ N million for poor performance of its i nuclear plant """
Other;Repo;""" japan 's domestic sales of cars trucks and buses in october rose N N from a year earlier to N units a record for the month the japan automobile dealers ' association said """
Other;Repo;""" the strong growth followed year-to-year increases of N N in august and N N in september """
Other;Repo;""" the monthly sales have been setting records every month since march """
Other;Repo;""" october sales compared with the previous month inched down N N """
Other;Repo;""" sales of passenger cars grew N N from a year earlier to N units """
Other;Repo;""" sales of medium-sized cars which benefited from price reductions arising from introduction of the consumption tax more than doubled to N units from N in october N """
Other;Repo;""" texas instruments japan ltd. a unit of texas instruments inc. said it opened a plant in south korea to manufacture control devices """
Other;Repo;""" the new plant located in about N miles from seoul will help meet increasing and diversifying demand for control products in south korea the company said """
Other;Repo;""" the plant will produce control devices used in motor vehicles and household appliances """
Other;Repo;""" the survival of spinoff cray computer corp. as a fledgling in the supercomputer business appears to depend heavily on the creativity and of its chairman and chief designer seymour cray """
Other;Repo;""" not only is development of the new company 's initial machine tied directly to mr. cray so is its balance sheet """
Other;Repo;""" documents filed with the securities and exchange commission on the pending spinoff disclosed that cray research inc. will withdraw the almost $ N million in financing it is providing the new firm if mr. cray leaves or if the project he heads is scrapped """
Other;Repo;""" the documents also said that although the mr. cray has been working on the project for more than six years the cray-3 machine is at least another year away from a fully operational prototype """
Other;Repo;""" moreover there have been no orders for the cray-3 so far though the company says it is talking with several prospects """
Other;Repo;""" while many of the risks were anticipated when cray research first announced the spinoff in may the it attached to the financing had n't been made public until yesterday """
Other;Repo;""" we did n't have much of a choice cray computer 's chief financial officer gregory said in an interview """
Other;Repo;""" the theory is that seymour is the chief designer of the cray-3 and without him it could not be completed """
Other;Repo;""" cray research did not want to fund a project that did not include seymour """
Other;Repo;""" the documents also said that cray computer anticipates perhaps another $ N million in financing beginning next september """
Other;Repo;""" but mr. called that a scenario """
Other;Repo;""" the filing on the details of the spinoff caused cray research stock to jump $ N yesterday to close at $ N in new york stock exchange composite trading """
Other;Repo;""" analysts noted yesterday that cray research 's decision to link its $ N million note to mr. cray 's presence will complicate a valuation of the new company """
Other;Repo;""" it has to be considered as an additional risk for the investor said gary p. of group inc. minneapolis """
Other;Repo;""" cray computer will be a concept stock he said """
Other;Repo;""" you either believe seymour can do it again or you do n't """
Other;Repo;""" besides the designer 's age other risk factors for mr. cray 's new company include the cray-3 's tricky chip technology """
Other;Repo;""" the sec documents describe those chips which are made of as being so fragile and minute they will require special handling equipment """
Other;Repo;""" in addition the cray-3 will contain N processors twice as many as the largest current supercomputer """
Other;Repo;""" cray computer also will face intense competition not only from cray research which has about N N of the world-wide supercomputer market and which is expected to roll out the machine a direct competitor with the cray-3 in N """
Other;Repo;""" the spinoff also will compete with international business machines corp. and japan 's big three hitachi ltd. nec corp. and fujitsu ltd """
Other;Repo;""" the new company said it believes there are fewer than N potential customers for priced between $ N million and $ N million presumably the cray-3 price range """
Other;Repo;""" under terms of the spinoff cray research stockholders are to receive one cray computer share for every two cray research shares they own in a distribution expected to occur in about two weeks """
Other;Repo;""" no price for the new shares has been set """
Other;Repo;""" instead the companies will leave it up to the marketplace to decide """
Other;Repo;""" cray computer has applied to trade on nasdaq """
Other;Repo;""" analysts calculate cray computer 's initial book value at about $ N a share """
Other;Repo;""" along with the note cray research is about $ N million in assets primarily those related to the cray-3 development which has been a drain on cray research 's earnings """
Other;Repo;""" balance sheets clearly show why cray research favored the spinoff """
Other;Repo;""" without the cray-3 research and development expenses the company would have been able to report a profit of $ N million for the first half of N rather than the $ N million it posted """
Other;Repo;""" on the other hand had it existed then cray computer would have incurred a $ N million loss """
Other;Repo;""" mr. cray who could n't be reached for comment will work for the new colorado springs colo. company as an independent contractor the arrangement he had with cray research """
Other;Repo;""" regarded as the father of the supercomputer mr. cray was paid $ N at cray research last year """
Other;Repo;""" at cray computer he will be paid $ N """
Other;Repo;""" besides messrs. cray and other senior management at the company includes neil N president and chief executive officer joseph m. N vice president engineering malcolm a. N vice president software and douglas r. N vice president hardware """
Other;Repo;""" all came from cray research """
Other;Repo;""" cray computer which currently employs N people said it expects a work force of N by the end of N """
Other;Repo;""" john r. stevens N years old was named senior executive vice president and chief operating officer both new positions """
Other;Repo;""" he will continue to report to donald president and chief executive officer """
Other;Repo;""" mr. stevens was executive vice president of this holding company """
Other;Repo;""" arthur a. hatch N was named executive vice president of the company """
Other;Repo;""" he was previously president of the company 's eastern edison co. unit """
Other;Repo;""" john d. N was named to succeed mr. hatch as president of eastern edison """
Other;Repo;""" previously he was vice president of eastern edison """
Other;Repo;""" robert p. N was named senior vice president of eastern utilities """
Other;Repo;""" he was previously vice president """
Other;Repo;""" the u.s. claiming some success in its trade removed south korea taiwan and saudi arabia from a list of countries it is closely watching for allegedly failing to honor u.s. patents and other rights """
Other;Repo;""" however five other countries china thailand india brazil and mexico will remain on that so-called priority watch list as a result of an interim review u.s. trade representative carla hills announced """
Other;Repo;""" under the new u.s. trade law those countries could face accelerated investigations and stiff trade sanctions if they do n't improve their protection of intellectual property by next spring """
Other;Repo;""" mrs. hills said many of the N countries that she placed under degrees of scrutiny have made genuine progress on this touchy issue """
Other;Repo;""" she said there is growing around the world that of rights all trading nations and particularly the creativity and of an country 's own citizens """
Other;Repo;""" u.s. trade negotiators argue that countries with inadequate for rights could be hurting themselves by discouraging their own scientists and authors and by u.s. high-technology firms from investing or marketing their best products there """
Other;Repo;""" mrs. hills south korea for creating an task force and special enforcement teams of police officers and prosecutors trained to pursue movie and book """
Other;Repo;""" seoul also has instituted effective procedures to aid these teams she said """
Other;Repo;""" taiwan has improved its standing with the u.s. by a copyright agreement its trademark law and introducing legislation to protect foreign movie producers from unauthorized of their films """
Other;Repo;""" that measure could taipei 's growing number of small to pay movie producers for showing their films """
Other;Repo;""" saudi arabia for its part has vowed to enact a copyright law compatible with international standards and to apply the law to computer software as well as to literary works mrs. hills said """
Other;Repo;""" these three countries are n't completely off the hook though """
Other;Repo;""" they will remain on a list that includes N other countries """
Other;Repo;""" those countries including japan italy canada greece and spain are still of some concern to the u.s. but are deemed to pose problems for american patent and copyright owners than those on the priority list """
Other;Repo;""" gary hoffman a washington lawyer specializing in cases said the threat of u.s. combined with a growing recognition that protecting intellectual property is in a country 's own interest prompted the improvements made by south korea taiwan and saudi arabia """
Other;Repo;""" what this tells us is that u.s. trade law is working he said """
Other;Repo;""" he said mexico could be one of the next countries to be removed from the priority list because of its efforts to craft a new patent law """
Other;Repo;""" mrs. hills said that the u.s. is still concerned about disturbing developments in turkey and continuing slow progress in malaysia """
Other;Repo;""" she did n't elaborate although earlier u.s. trade reports have complained of videocassette in malaysia and for u.s. pharmaceutical patents in turkey """
Other;Repo;""" the N trade act requires mrs. hills to issue another review of the performance of these countries by april N """
Other;Repo;""" so far mrs. hills has n't deemed any cases bad enough to merit an accelerated investigation under the so-called special N provision of the act """
Other;Repo;""" argentina said it will ask creditor banks to its foreign debt of $ N billion the in the developing world """
Other;Repo;""" the declaration by economy minister is believed to be the first time such an action has been called for by an official of such """
Other;Repo;""" the latin american nation has paid very little on its debt since early last year """
Other;Repo;""" argentina to reach a reduction of N N in the value of its external debt mr. said through his spokesman """
Other;Repo;""" mr. met in august with u.s. assistant treasury secretary david mulford """
Other;Repo;""" negotiator carlos was in washington and new york this week to meet with banks """
Other;Repo;""" mr. recently has said the government of president carlos who took office july N feels a significant reduction of principal and interest is the only way the debt problem may be solved """
Other;Repo;""" but he has not said before that the country wants half the debt """
Other;Repo;""" during its centennial year the wall street journal will report events of the past century that stand as milestones of american business history """
Other;Repo;""" three computers that changed the face of personal computing were launched in N """
Other;Repo;""" that year the apple ii commodore pet and tandy came to market """
Other;Repo;""" the computers were crude by today 's standards """
Other;Repo;""" apple ii owners for example had to use their television sets as screens and data on """
Other;Repo;""" but apple ii was a major advance from apple i which was built in a garage by stephen and steven jobs for such as the computer club """
Other;Repo;""" in addition the apple ii was an affordable $ N """
Other;Repo;""" crude as they were these early pcs triggered explosive product development in desktop models for the home and office """
Other;Repo;""" big mainframe computers for business had been around for years """
Other;Repo;""" but the new N pcs unlike earlier types such as the and had and could store about two pages of data in their memories """
Other;Repo;""" current pcs are more than N times faster and have memory capacity N times greater than their N counterparts """
Other;Repo;""" there were many pioneer pc """
Other;Repo;""" william gates and paul allen in N developed an early system for pcs and gates became an industry billionaire six years after ibm adapted one of these versions in N """
Other;Repo;""" alan f. currently chairman of seagate technology led the team that developed the disk drives for pcs """
Other;Repo;""" dennis and dale two atlanta engineers were of the internal that allow pcs to share data via the telephone """
Other;Repo;""" ibm the world leader in computers did n't offer its first pc until august N as many other companies entered the market """
Other;Repo;""" today pc shipments annually total some $ N billion world-wide """
Other;Repo;""" & co. an australian pharmaceuticals company said its inc. affiliate acquired inc. for $ N million """
Other;Repo;""" is a new pharmaceuticals concern that sells products under the label """
Other;Repo;""" said it owns N N of 's voting stock and has an agreement to acquire an additional N N """
Other;Repo;""" that stake together with its convertible preferred stock holdings gives the right to increase its interest to N N of 's voting stock """
Other;Repo;""" oil production from australia 's bass fields will be raised by N barrels a day to about N barrels with the launch of the field the first of five small fields scheduled to be brought into production before the end of N """
Other;Repo;""" esso australia ltd. a unit of new york-based exxon corp. and broken hill operate the fields in a joint venture """
Other;Repo;""" esso said the field started production tuesday """
Other;Repo;""" output will be gradually increased until it reaches about N barrels a day """
Other;Repo;""" the field has reserves of N million barrels """
Other;Repo;""" reserves for the five new fields total N million barrels """
Other;Repo;""" the and fields are expected to start producing early next year and the and fields later next year """
Other;Repo;""" esso said the fields were developed after the australian government decided in N to make the first N million barrels from new fields free of tax """
Other;Repo;""" corp. said it completed the $ N million sale of its southern optical subsidiary to a group led by the unit 's president thomas r. sloan and other managers """
Other;Repo;""" following the acquisition of by a buy-out group led by shearson lehman hutton earlier this year the maker of decided to itself of certain of its businesses """
Other;Repo;""" the sale of southern optical is a part of the program """
Other;Repo;""" the white house said president bush has approved duty-free treatment for imports of certain types of watches that are n't produced in significant quantities in the u.s. the virgin islands and other u.s. """
Other;Repo;""" the action came in response to a petition filed by inc. for changes in the u.s. system of preferences for imports from developing nations """
Other;Repo;""" previously watch imports were denied such duty-free treatment """
Other;Repo;""" had requested duty-free treatment for many types of watches covered by N different u.s. tariff """
Other;Repo;""" the white house said mr. bush decided to grant duty-free status for N categories but turned down such treatment for other types of watches because of the potential for material injury to watch producers located in the u.s. and the virgin islands """
Other;Repo;""" is a major u.s. producer and seller of watches including watches assembled in the philippines and other developing nations covered by the u.s. tariff preferences """
Other;Repo;""" u.s. trade officials said the philippines and thailand would be the main beneficiaries of the president 's action """
Other;Repo;""" imports of the types of watches that now will be eligible for duty-free treatment totaled about $ N million in N a relatively small share of the $ N billion in u.s. watch imports that year according to an aide to u.s. trade representative carla hills """
Other;Repo;""" magna international inc. 's chief financial officer james mcalpine resigned and its chairman frank is stepping in to help turn the manufacturer around the company said """
Other;Repo;""" mr. will direct an effort to reduce overhead and curb capital spending until a more satisfactory level of profit is achieved and maintained magna said """
Other;Repo;""" stephen currently vice president finance will succeed mr. mcalpine """
Other;Repo;""" an ambitious expansion has left magna with excess capacity and a heavy debt load as the automotive industry enters a downturn """
Other;Repo;""" the company has reported declines in operating profit in each of the past three years despite steady sales growth """
Other;Repo;""" magna recently cut its quarterly dividend in half and the company 's class a shares are far below their 52-week high of N canadian dollars us$ N """
Other;Repo;""" on the toronto stock exchange yesterday magna shares closed up N canadian cents to c$ N """
Other;Repo;""" mr. founder and controlling shareholder of magna resigned as chief executive officer last year to seek unsuccessfully a seat in canada 's parliament """
Other;Repo;""" analysts said mr. wants to resume a more influential role in running the company """
Other;Repo;""" they expect him to cut costs throughout the organization """
Other;Repo;""" the company said mr. will personally direct the restructuring by president and chief executive """
Other;Repo;""" neither they nor mr. mcalpine could be reached for comment """
Other;Repo;""" magna said mr. mcalpine resigned to pursue a consulting career with magna as one of his clients """
Other;Repo;""" lord chairman of english china plc was named a nonexecutive director of this british chemical company """
Other;Repo;""" japanese investors nearly bought up two new mortgage mutual funds totaling $ N million the u.s. federal national mortgage association said """
Other;Repo;""" the purchases show the strong interest of japanese investors in u.s. instruments fannie mae 's chairman david o. maxwell said at a news conference """
Other;Repo;""" he said more than N N of the funds were placed with japanese institutional investors """
Other;Repo;""" the rest went to investors from france and hong kong """
Other;Repo;""" earlier this year japanese investors snapped up a similar $ N million mortgage-backed securities mutual fund """
Other;Repo;""" that fund was put together by blackstone group a new york investment bank """
Other;Repo;""" the latest two funds were assembled jointly by goldman sachs & co. of the u.s. and japan 's daiwa securities co """
Other;Repo;""" the new seven-year funds one offering a fixed-rate return and the other with a floating-rate return linked to the london interbank offered rate offer two key advantages to japanese investors """
Other;Repo;""" first they are designed to eliminate the risk of prepayment mortgage-backed securities can be retired early if interest rates decline and such prepayment forces investors to their money at lower rates """
Other;Repo;""" second they channel monthly mortgage payments into semiannual payments reducing the administrative burden on investors """
Other;Repo;""" by addressing those problems mr. maxwell said the new funds have become extremely attractive to japanese and other investors outside the u.s. """
Other;Repo;""" such devices have boosted japanese investment in mortgage-backed securities to more than N N of the $ N billion in such instruments outstanding and their purchases are growing at a rapid rate """
Other;Repo;""" they also have become large purchasers of fannie mae 's corporate debt buying $ N billion in fannie mae bonds during the first nine months of the year or almost a of the total amount issued """
Other;Repo;""" james l. executive vice president was named a director of this oil concern expanding the board to N members """
Other;Repo;""" ltv corp. said a federal bankruptcy court judge agreed to extend until march N N the period in which the steel aerospace and energy products company has the exclusive right to file a reorganization plan """
Other;Repo;""" the company is operating under chapter N of the federal bankruptcy code giving it court protection from creditors ' lawsuits while it attempts to work out a plan to pay its debts """
Other;Repo;""" italian chemical giant montedison through its montedison acquisition n.v. indirect unit began its $ tender offer for all the common shares outstanding of erbamont n.v. a maker of pharmaceuticals incorporated in the netherlands """
Other;Repo;""" the offer advertised in today 's editions of the wall street journal is scheduled to expire at the end of november """
